pclass_preprocess__Pclass,sex_preprocess__Sex_male,age_preprocess__Age,sibsp_parch_preprocess__FamilySize,embarked_preprocess__Embarked_Q,embarked_preprocess__Embarked_S,fare_preprocess__Fare,Survived
2.0,1.0,0.1387067746496979,2.0,0.0,1.0,-0.5014180912691221,0
0.0,0.0,0.24154775678107726,2.0,0.0,0.0,0.7875109080366635,1
2.0,0.0,0.16441702018254273,1.0,0.0,1.0,-0.48783098776935857,1
0.0,0.0,0.22226507263144363,2.0,0.0,1.0,0.4214984946037015,1
2.0,1.0,0.22226507263144363,1.0,0.0,1.0,-0.48531485749162456,0
0.0,1.0,0.3443887389124566,1.0,0.0,1.0,0.396588804854135,0
2.0,1.0,0.010155546985473711,5.0,0.0,1.0,-0.223134082551744,0
2.0,0.0,0.17084458156575394,3.0,0.0,1.0,-0.4232509816089272,1
1.0,0.0,0.08728628358400822,2.0,0.0,0.0,-0.04205724453222939,1
2.0,0.0,0.02301066975189613,3.0,0.0,1.0,-0.31119864227243327,1
0.0,0.0,0.3700989844453014,1.0,0.0,1.0,-0.11292757638699569,1
2.0,1.0,0.1258516518832755,1.0,0.0,1.0,-0.48531485749162456,0
2.0,1.0,0.24797531816428847,7.0,0.0,1.0,-0.01781785188865133,0
2.0,0.0,0.08728628358400822,1.0,0.0,1.0,-0.48925612395866713,0
1.0,0.0,0.3508163002956678,1.0,0.0,1.0,-0.3252889718277435,1
2.0,1.0,0.010155546985473711,6.0,1.0,0.0,-0.06109529266567574,0
1.0,1.0,0.18896588740823594,1.0,0.0,1.0,-0.38567609849335904,1
2.0,0.0,0.19655482709859878,2.0,0.0,1.0,-0.2850308873839999,0
2.0,0.0,1.0,1.0,0.0,0.0,-0.5019213173246688,1
1.0,1.0,0.22226507263144363,1.0,0.0,1.0,-0.12399854960902522,0
1.0,1.0,0.21583751124823242,1.0,0.0,1.0,-0.38567609849335904,1
2.0,0.0,0.09371384496721943,1.0,1.0,0.0,-0.48573354156983956,1
0.0,1.0,0.17727214294896515,1.0,0.0,1.0,0.06722735149875719,1
2.0,0.0,0.04872091528474097,5.0,0.0,1.0,-0.223134082551744,0
2.0,0.0,0.24154775678107726,7.0,0.0,1.0,-0.015553334638690734,1
2.0,1.0,0.18896588740823594,1.0,0.0,0.0,-0.5019213173246688,0
0.0,1.0,0.11942409050006428,6.0,0.0,1.0,4.646584456974599,0
